by,descendants,id,kids,score,text,time,title,type,url
dredmorbius,530.0,20542107,"[20542705, 20542852, 20556909, 20542612, 20542618, 20542656, 20542368, 20543637, 20543155, 20542851, 20543535, 20544503, 20543092, 20542505, 20542390, 20542427, 20544736, 20543355, 20542906, 20544023, 20552083, 20543126, 20543328, 20545816, 20543422, 20546392, 20542523, 20553103, 20547999, 20545315, 20544694, 20550303, 20545010, 20545070, 20544898, 20547338, 20545154, 20543949, 20546825, 20545782, 20546652, 20542354, 20548675, 20544245, 20544661, 20547432, 20545191, 20544173, 20545183, 20545361, 20545420, 20544140, 20545457, 20542443, 20542689, 20542723, 20546523, 20544271, 20545422, 20548145, 20542905, 20542879, 20544063, 20543699, 20544264, 20544984, 20546265, 20543996, 20543567, 20542383, 20542804, 20543508, 20542624]",884,,1564236658,Adblocking: How about Nah?,story,https://www.eff.org/deeplinks/2019/07/adblocking-how-about-nah
parsimo2010,70.0,20531987,"[20532148, 20532695, 20532176, 20540584, 20532274, 20533278, 20538022, 20532810, 20536175, 20541352, 20534933, 20536820, 20532229, 20532506, 20538429, 20532264, 20532247, 20532735]",740,,1564109820,Decades-Old Computer Science Conjecture Solved in Two Pages,story,https://www.quantamagazine.org/mathematician-solves-computer-science-conjecture-in-two-pages-20190725/
cpeterso,162.0,20532763,"[20533597, 20533371, 20533348, 20533647, 20534516, 20533222, 20533698, 20533479, 20534272, 20533342, 20537571, 20536540, 20537252, 20533066, 20533628, 20533228, 20533150, 20535177, 20535277]",545,,1564121664,Mozilla debuts implementation of WebThings Gateway open-source router firmware,story,https://venturebeat.com/2019/07/25/mozilla-debuts-webthings-gateway-open-source-router-firmware-for-turris-omnia/
zoobab,223.0,20533576,"[20534838, 20533782, 20533727, 20534294, 20535696, 20533772, 20533808, 20533757, 20533828, 20535219, 20535020, 20534904, 20538590, 20533786, 20537191, 20536204, 20537597, 20534661, 20533715, 20533834]",523,,1564134694,The UK authorities made illegal copies of the Schengen Information System,story,https://twitter.com/SophieintVeld/status/1154689216170926080
braythwayt,252.0,20549457,"[20549523, 20550613, 20550475, 20549622, 20552300, 20552239, 20550786, 20549915, 20549493, 20549920, 20551105, 20550346, 20550251, 20550693, 20550723, 20549534, 20551250, 20550572, 20551011, 20549557, 20550555, 20549494]",488,,1564343108,Malicious code in the purescript NPM installer,story,https://harry.garrood.me/blog/malicious-code-in-purescript-npm-installer/
tafda,197.0,20542862,"[20543176, 20543063, 20543844, 20543058, 20543020, 20543362, 20543640, 20544240, 20543149, 20543274, 20544532, 20546058, 20544744, 20543117, 20543086, 20543252, 20543461, 20544377, 20544592, 20543563, 20543654, 20545809, 20546544, 20543685, 20544584, 20543201, 20546535, 20543275]",376,,1564246439,The Roots of Boeing’s 737 Max Crisis: A Regulator Relaxes Its Oversight,story,https://www.nytimes.com/2019/07/27/business/boeing-737-max-faa.html
carapace,326.0,20537409,"[20537922, 20538634, 20539303, 20543060, 20539099, 20538093, 20539224, 20540650, 20538231, 20539023, 20538662, 20541213, 20538109, 20540420, 20540959, 20541327, 20539237, 20538122, 20538461, 20538152, 20540269, 20538671, 20539370, 20538534, 20540858, 20541050, 20538283, 20539065, 20538225, 20538617, 20538378, 20540887, 20540612, 20538606, 20538954, 20539839, 20538173, 20538490, 20538951]",586,,1564167557,How is China able to provide enough food to feed over 1B people?,story,https://www.quora.com/How-is-China-able-to-provide-enough-food-to-feed-its-population-of-over-1-billion-people-Do-they-import-food-or-are-they-self-sustainable?share=1
timafuyc,68.0,20540852,"[20549190, 20547705, 20547233, 20549106, 20547209, 20550361, 20547355, 20554099, 20547156, 20549754, 20549713]",498,,1564212569,Tokyo subway’s humble duct-tape typographer,story,https://medium.com/@chrisgaul/tokyo-subways-humble-duct-tape-typographer-a8c84bb6b99b
InvOfSmallC,308.0,20533026,"[20534135, 20534614, 20534300, 20537640, 20534120, 20536633, 20534530, 20534205, 20537506, 20535551, 20536166, 20536275, 20536023, 20534320, 20534239, 20534031, 20535625, 20534394, 20534087, 20535296, 20534680, 20535712, 20534529, 20538955, 20534698, 20535375, 20540077, 20534733, 20535801, 20535593, 20538594, 20535378, 20536940, 20535657, 20534674, 20536435, 20538466, 20534931, 20536864, 20536060, 20538698, 20537710, 20535320, 20536747, 20537416, 20538258, 20539055, 20539785, 20536641, 20540208, 20537856, 20538587]",457,,1564126368,Users hate change,story,https://gist.github.com/sleepyfox/a4d311ffcdc4fd908ec97d1c245e57dc
girlwhocodes,237.0,20530046,"[20530409, 20531859, 20530242, 20531878, 20530382, 20530511, 20530367, 20530609, 20531653, 20531087, 20530883, 20532439, 20532102, 20533102, 20531243, 20530422, 20530568, 20532320, 20531230, 20531390, 20530859, 20532053, 20538551, 20531420, 20530857, 20530594, 20532913, 20530848, 20531964, 20530243, 20530222, 20530219, 20530435]",483,,1564090771,Square’s Growth Framework for Engineers and Engineering Managers,story,https://developer.squareup.com/blog/squares-growth-framework-for-engineers-and-engineering-managers/
